Screaming Circuits SMD component position file.,,,,
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.,,,,
,,,,
"Centroid Data for pc board: ""electrosteel2020_10_arrange5.brd"" as of: 12/23/20 12:05 PM",,,,
Measurements are in inches. Comma delimited,,,,
only through-hole,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C171,Top,2.41,6.18,90
IC5,Top,4.48,4.39,0
IC6,Top,4.51,4.21,0
J1,Bottom,0.75,7.16,270
J2,Top,2.45,4.1,270
J3,Top,6.03,5.47,270
J4,Top,6.3,5.47,270
J5,Top,6.57,5.47,270
J6,Top,6.84,5.47,270
J7,Top,7.11,5.47,270
J8,Top,2.34,4.42,180
J9,Bottom,9.388,8.99,270
J10,Top,2.48,3.58,90
J11,Top,7.9,1.22,180
J12,Top,8.37,1.22,180
J13,Top,3.64,4.92,180
J14,Top,4.19,4.92,180
J15,Top,4.72,4.96,180
J16,Top,6.64,0.85,270
J17,Top,1.05,4.41,180
J18,Top,1.72,4.85,180
J19,Top,1.24,4.85,180
J20,Top,0.49,0.92,90
J21,Top,0.4,0.57,0
J22,Top,0.22,0.92,90
J23,Top,0.83,0.57,0
J24,Top,1.21,0.61,270
J25,Bottom,8.658,8.98,270
J26,Top,1.48,0.61,270
J27,Bottom,8.648,8.02,270
J28,Bottom,1.72,6.61,90
J29,Bottom,9.408,8.02,270
J31,Bottom,0.642,8.46,90
J32,Top,10.39,3.52,270
J33,Bottom,10.092,7.47,90
J34,Top,0.65,6,0
J35,Bottom,8.92,7.198,180
J36,Top,4.05,4.47,0
J37,Bottom,10.098,8.99,270
J38,Top,9.8,2.57,180
J39,Bottom,10.448,0.82,270
J41,Bottom,10.08,1.948,180
J42,Bottom,9.8,0.9,270
JP1,Top,3.94,1.8,0
JP2,Top,8.53,2.12,180
JP3,Top,3.3,2.77,90
JP4,Top,6.49,2.78,90
JP5,Top,7.93,5.21,90
JP6,Top,5.9,2.77,90
JP7,Top,9.09,2.78,90
JP8,Top,10.53,5.21,90
JP9,Top,4.949,1.918,0
JP10,Top,8.138,1.929,0
JP11,Top,9.577,4.359,0
JP12,Top,3.08,0.86,90
JP13,Top,3.53,0.86,90
JP14,Top,3.65,4.43,0
JP15,Top,10.02,4.58,180
JP17,Top,5.38,0.86,90
JP18,Top,3.98,0.86,90
JP19,Bottom,2.47,6.69,0
JP20,Top,1.1,6.01,90
JP21,Top,2.208,8.89,0
P1,Bottom,3.14,5.95,180
P2,Bottom,4.992,6.306,180
P3,Top,0.73,5.09,90
P4,Top,0.74,5.56,90
S1,Top,5.57,7.84,0
S2,Top,6.21,8.16,0
S3,Top,6.94,8.35,0
S4,Top,7.74,8.32,0
S5,Top,3.58,8.85,0
S6,Top,3.58,8.26,0
S7,Top,3.8,8.55,0
S8,Top,3.37,8.55,0
S9,Top,3.27,7.79,0
S10,Top,4.55,7.93,0
S11,Top,4.7,8.37,0
S12,Top,2.16,9.19,0
SW1,Top,4.39,9.14,0
U$1,Top,6.07,9.13,0
U$2,Top,7.53,9.15,0
U$3,Top,5.15,4.31,0
U$6,Bottom,0.89,1.48,180
U15,Top,1.84,6.1,180
U17,Top,6.49,4.13,90
X4,Bottom,3.31,6.98,0
X5,Bottom,3.33,9.183,0
X6,Top,3.89,0.14,0
X7,Top,7.23,4.05,0
X8,Bottom,5.182,8.826,0
X9,Top,5.55,5.02,0
X10,Bottom,4.82,6.88,0
X11,Top,1.1,2.2,0